Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,Comptes de capitaux,18,Classe 1,1,,Asset,
Dettes liées à des participations,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,181,18,1,,Asset,
Dettes liées à des participations (groupe),Dettes liées à des participations,18110000,181,0,,Asset,
Dettes liées à des participations (hors groupe),Dettes liées à des participations,18120000,181,0,,Asset,
Dettes liées à des sociétés en participation,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,18200000,18,0,,Asset,
Intérêts courus sur dettes liées à des participations,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,18300000,18,0,,Asset,
Comptes permanents bloqués des établissements et succursales,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,18400000,18,0,,Asset,
Comptes permanents non bloqués des établissements et succursales,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,18500000,18,0,,Asset,
Comptes de liaison charges,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,18600000,18,0,,Asset,
Comptes de liaison produits,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,18700000,18,0,,Asset,
Comptes de liaison des sociétés en participation,Dettes  liées  à  des  participations  et  comptes  de  liaison  des  établissements  et sociétés en participation,18800000,18,0,,Asset,
Provisions financières pour risques et charges,Comptes de capitaux,19,Classe 1,1,,Asset,
Provisions pour litiges,Provisions financières pour risques et charges,19100000,19,0,,Asset,
Provisions pour garanties données aux clients,Provisions financières pour risques et charges,19200000,19,0,,Asset,
Provisions pour pertes sur marchés à achèvement futur,Provisions financières pour risques et charges,19300000,19,0,,Asset,
Provisions pour pertes de change,Provisions financières pour risques et charges,19400000,19,0,,Asset,
Provisions pour impôts,Provisions financières pour risques et charges,19500000,19,0,,Asset,
Provisions pour pensions et obligations similaires,Provisions financières pour risques et charges,19600000,19,0,,Asset,
Provisions pour charges à repartir sur plusieurs exercices,Provisions financières pour risques et charges,197,19,1,,Asset,
Provisions pour grosses réparations,Provisions pour charges à repartir sur plusieurs exercices,19710000,197,0,,Asset,
Autres provisions financières pour risques et charges,Provisions financières pour risques et charges,198,19,1,,Asset,
Provisions pour amendes et pénalités,Autres provisions financières pour risques et charges,19810000,198,0,,Asset,
Provisions pour renouvellement des immobilisations (entreprises concessionnai- res),Autres provisions financières pour risques et charges,19820000,198,0,,Asset,
Provisions de propre assureur,Autres provisions financières pour risques et charges,19830000,198,0,,Asset,
Autres provisions financières pour risques et charges,Autres provisions financières pour risques et charges,19880000,198,0,,Asset,
Comptes d’actif immobilisé,,Classe 2,,1,,Asset,
Charges immobilisées,Comptes d’actif immobilisé,20,Classe 2,1,Fixed Asset,Asset,
Frais d’établissement,Charges immobilisées,201,20,1,Fixed Asset,Asset,
Frais de constitution,Frais d’établissement,20110000,201,0,Fixed Asset,Asset,
Frais de prospection,Frais d’établissement,20120000,201,0,Fixed Asset,Asset,
Frais de publicité et de lancement,Frais d’établissement,20130000,201,0,Fixed Asset,Asset,
Frais de fonctionnement antérieurs au démarrage,Frais d’établissement,20140000,201,0,Fixed Asset,Asset,
"Frais de modification du capital (fusions, scissions, transformations)",Frais d’établissement,20150000,201,0,Fixed Asset,Asset,
Frais d’entrée à la Bourse,Frais d’établissement,20160000,201,0,Fixed Asset,Asset,
Frais de restructuration,Frais d’établissement,20170000,201,0,Fixed Asset,Asset,
Frais divers d’établissement,Frais d’établissement,20180000,201,0,Fixed Asset,Asset,
harges à répartir sur plusieurs exercices,Charges immobilisées,202,20,1,Fixed Asset,Asset,
Charges différées,harges à répartir sur plusieurs exercices,20210000,202,0,Fixed Asset,Asset,
Frais d’acquisition d’immobi-lisations,harges à répartir sur plusieurs exercices,20220000,202,0,Fixed Asset,Asset,
Frais d’émission des emprunts,harges à répartir sur plusieurs exercices,20260000,202,0,Fixed Asset,Asset,
Charges à étaler,harges à répartir sur plusieurs exercices,20280000,202,0,Fixed Asset,Asset,
rimes de remboursement des obligations,Charges immobilisées,206,20,1,Fixed Asset,Asset,
Obligations ordinaires,rimes de remboursement des obligations,20610000,206,0,Fixed Asset,Asset,
Obligations convertibles,rimes de remboursement des obligations,20620000,206,0,Fixed Asset,Asset,
Autres emprunts obligataires,rimes de remboursement des obligations,20680000,206,0,Fixed Asset,Asset,
Immobilisations incorporelles,Comptes d’actif immobilisé,21,Classe 2,1,Fixed Asset,Asset,
Frais de recherche et de développement,Immobilisations incorporelles,21100000,21,0,Fixed Asset,Asset,
"Brevets, licences, concessions et droits similaires",Immobilisations incorporelles,21200000,21,0,Fixed Asset,Asset,
Logiciels,Immobilisations incorporelles,21300000,21,0,Fixed Asset,Asset,
Marques,Immobilisations incorporelles,21400000,21,0,Fixed Asset,Asset,
Fonds commercial,Immobilisations incorporelles,21500000,21,0,Fixed Asset,Asset,
Droit au bail,Immobilisations incorporelles,21600000,21,0,Fixed Asset,Asset,
Investissements de création,Immobilisations incorporelles,21700000,21,0,Fixed Asset,Asset,
Autres droits et valeurs incorporels,Immobilisations incorporelles,21800000,21,0,Fixed Asset,Asset,
Immobilisations incorporelles en cours,Immobilisations incorporelles,219,21,1,Fixed Asset,Asset,
Frais de recherche et de développement,Immobilisations incorporelles en cours,21910000,219,0,Fixed Asset,Asset,
Logiciels,Immobilisations incorporelles en cours,21930000,219,0,Fixed Asset,Asset,
Autres droits et valeurs incorporels,Immobilisations incorporelles en cours,21980000,219,0,Fixed Asset,Asset,
TERRAINS,Comptes d’actif immobilisé,22,Classe 2,1,Fixed Asset,Asset,
terrains agricoles et forestiers,TERRAINS,221,22,1,Fixed Asset,Asset,
Terrains d’exploitation agricole,terrains agricoles et forestiers,22110000,221,0,Fixed Asset,Asset,
Terrains d’exploitation forestière,terrains agricoles et forestiers,22120000,221,0,Fixed Asset,Asset,
Autres terrains,terrains agricoles et forestiers,22180000,221,0,Fixed Asset,Asset,
Terrains nus,TERRAINS,222,22,1,Fixed Asset,Asset,
Terrains à bâtir,Terrains nus,22210000,222,0,Fixed Asset,Asset,
Autres terrains nus,Terrains nus,22280000,222,0,Fixed Asset,Asset,
Terrains bâtis,TERRAINS,223,22,1,Fixed Asset,Asset,
pour bâtiments industriels et agricoles,Terrains bâtis,22310000,223,0,Fixed Asset,Asset,
pour bâtiments administratifs et commerciaux,Terrains bâtis,22320000,223,0,Fixed Asset,Asset,
pour bâtiments affectés aux autres opérations professionnelles,Terrains bâtis,22340000,223,0,Fixed Asset,Asset,
pour bâtiments affectés aux autres opérations non professionnelles,Terrains bâtis,22350000,223,0,Fixed Asset,Asset,
Autres terrains bâtis,Terrains bâtis,22380000,223,0,Fixed Asset,Asset,
Travaux de mise en valeur des terrains,TERRAINS,224,22,1,Fixed Asset,Asset,
Plantation d’arbres et d’arbustes,Travaux de mise en valeur des terrains,22410000,224,0,Fixed Asset,Asset,
Autres travaux,Travaux de mise en valeur des terrains,22480000,224,0,Fixed Asset,Asset,
Terrains de gisement,TERRAINS,225,22,1,Fixed Asset,Asset,
Carrières,Terrains de gisement,22510000,225,0,Fixed Asset,Asset,
Terrains aménagés,TERRAINS,226,22,1,Fixed Asset,Asset,
Parkings,Terrains aménagés,22610000,226,0,Fixed Asset,Asset,
Terrains mis en concession,TERRAINS,22700000,22,0,Fixed Asset,Asset,
Autres terrains,TERRAINS,228,22,1,Fixed Asset,Asset,
Terrains des immeubles de rapport,Autres terrains,22810000,228,0,Fixed Asset,Asset,
Terrains des logements affectés au personnel,Autres terrains,22850000,228,0,Fixed Asset,Asset,
Autres terrains,Autres terrains,22880000,228,0,Fixed Asset,Asset,
Aménagements de terrains en cours,TERRAINS,229,22,1,Fixed Asset,Asset,
Terrains agricoles et forestiers,Aménagements de terrains en cours,22910000,229,0,Fixed Asset,Asset,
Terrains nus,Aménagements de terrains en cours,22920000,229,0,Fixed Asset,Asset,
Terrains de gisement,Aménagements de terrains en cours,22950000,229,0,Fixed Asset,Asset,
Autres terrains,Aménagements de terrains en cours,22980000,229,0,Fixed Asset,Asset,
"Bâtiments, installations techniques et agencements",Comptes d’actif immobilisé,23,Classe 2,1,Fixed Asset,Asset,
"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre","Bâtiments, installations techniques et agencements",231,23,1,Fixed Asset,Asset,
Bâtiments industriels,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",23110000,231,0,Fixed Asset,Asset,
Bâtiments agricoles,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",23120000,231,0,Fixed Asset,Asset,
Bâtiments administratifs et commerciaux,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",23130000,231,0,Fixed Asset,Asset,
Bâtiments affectés au logement du personnel,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",23140000,231,0,Fixed Asset,Asset,
Immeubles de rapport,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",23150000,231,0,Fixed Asset,Asset,
"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui","Bâtiments, installations techniques et agencements",232,23,1,Fixed Asset,Asset,
Bâtiments industriels,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui",23210000,232,0,Fixed Asset,Asset,
Bâtiments agricoles,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui",23220000,232,0,Fixed Asset,Asset,
Bâtiments administratifs et commerciaux,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui",23230000,232,0,Fixed Asset,Asset,
Bâtiments affectés au logement du personnel,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui",23240000,232,0,Fixed Asset,Asset,
Immeubles de rapport,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui",23250000,232,0,Fixed Asset,Asset,
Ouvrages d’infrastructure,"Bâtiments, installations techniques et agencements",233,23,1,Fixed Asset,Asset,
Voies de terre,Ouvrages d’infrastructure,23310000,233,0,Fixed Asset,Asset,
Voies de fer,Ouvrages d’infrastructure,23320000,233,0,Fixed Asset,Asset,
Voies d’eau,Ouvrages d’infrastructure,23330000,233,0,Fixed Asset,Asset,
"Barrages, Digues",Ouvrages d’infrastructure,23340000,233,0,Fixed Asset,Asset,
Pistes d’aérodrome,Ouvrages d’infrastructure,23350000,233,0,Fixed Asset,Asset,
Autres,Ouvrages d’infrastructure,23380000,233,0,Fixed Asset,Asset,
Installations techniques,"Bâtiments, installations techniques et agencements",234,23,1,Fixed Asset,Asset,
Installations complexes spécialisées sur sol propre,Installations techniques,23410000,234,0,Fixed Asset,Asset,
Installations complexes spécialisées sur sol d’autrui,Installations techniques,23420000,234,0,Fixed Asset,Asset,
Installations à caractère spécifique sur sol propre,Installations techniques,23430000,234,0,Fixed Asset,Asset,
Installations à caractère spécifique sur sol d’autrui,Installations techniques,23440000,234,0,Fixed Asset,Asset,
Aménagements de bureaux,"Bâtiments, installations techniques et agencements",235,23,1,Fixed Asset,Asset,
Installations générales,Aménagements de bureaux,23510000,235,0,Fixed Asset,Asset,
Autres,Aménagements de bureaux,23580000,235,0,Fixed Asset,Asset,
"Bâtiments industriels, agricoles et commerciaux mis en concession","Bâtiments, installations techniques et agencements",23700000,23,0,Fixed Asset,Asset,
Autres installations et agencements,"Bâtiments, installations techniques et agencements",23800000,23,0,Fixed Asset,Asset,
Bâtiments et installations en cours,"Bâtiments, installations techniques et agencements",23900000,23,0,Fixed Asset,Asset,
Matériel,Comptes d’actif immobilisé,24,Classe 2,1,Fixed Asset,Asset,
Matériel et outillage industriel et commercial,Matériel,241,24,1,Fixed Asset,Asset,
Matériel industriel,Matériel et outillage industriel et commercial,24110000,241,0,Fixed Asset,Asset,
Outillage industriel,Matériel et outillage industriel et commercial,24120000,241,0,Fixed Asset,Asset,
Matériel commercial,Matériel et outillage industriel et commercial,24130000,241,0,Fixed Asset,Asset,
Outillage commercial,Matériel et outillage industriel et commercial,24140000,241,0,Fixed Asset,Asset,
atériel et outillage agricole,Matériel,242,24,1,Fixed Asset,Asset,
Matériel agricole,atériel et outillage agricole,24210000,242,0,Fixed Asset,Asset,
Outillage agricole,atériel et outillage agricole,24220000,242,0,Fixed Asset,Asset,
atériel d’emballage récupérable et identifiable,Matériel,24300000,24,0,Fixed Asset,Asset,
atériel et mobilier,Matériel,244,24,1,Fixed Asset,Asset,
Matériel de bureau,atériel et mobilier,24410000,244,0,Fixed Asset,Asset,
Matériel informatique,atériel et mobilier,24420000,244,0,Fixed Asset,Asset,
Matériel bureautique,atériel et mobilier,24430000,244,0,Fixed Asset,Asset,
Mobilier de bureau,atériel et mobilier,24440000,244,0,Fixed Asset,Asset,
Matériel et mobilier des immeubles de rapport,atériel et mobilier,24460000,244,0,Fixed Asset,Asset,
Matériel et mobilier des logements du personnel,atériel et mobilier,24470000,244,0,Fixed Asset,Asset,
atériel de transport,Matériel,245,24,1,Fixed Asset,Asset,
Matériel automobile,atériel de transport,24510000,245,0,Fixed Asset,Asset,
Matériel ferroviaire,atériel de transport,24520000,245,0,Fixed Asset,Asset,
"Matériel fluvial, lagunaire",atériel de transport,24530000,245,0,Fixed Asset,Asset,
Matériel naval,atériel de transport,24540000,245,0,Fixed Asset,Asset,
Matériel aérien,atériel de transport,24550000,245,0,Fixed Asset,Asset,
Matériel hippomobile,atériel de transport,24560000,245,0,Fixed Asset,Asset,
"Autres (vélo, mobylette, moto)",atériel de transport,24580000,245,0,Fixed Asset,Asset,
mmobilisations animales et agricoles,Matériel,246,24,1,Fixed Asset,Asset,
"Cheptel, animaux de trait",mmobilisations animales et agricoles,24610000,246,0,Fixed Asset,Asset,
"Cheptel, animaux reproducteurs",mmobilisations animales et agricoles,24620000,246,0,Fixed Asset,Asset,
Animaux de garde,mmobilisations animales et agricoles,24630000,246,0,Fixed Asset,Asset,
Plantations agricoles,mmobilisations animales et agricoles,24650000,246,0,Fixed Asset,Asset,
Autres,mmobilisations animales et agricoles,24680000,246,0,Fixed Asset,Asset,
gencements et aménagements du matériel,Matériel,24700000,24,0,Fixed Asset,Asset,
utres matériels,Matériel,248,24,1,Fixed Asset,Asset,
Collections et œuvres d’art,utres matériels,24810000,248,0,Fixed Asset,Asset,
atériel en cours,Matériel,249,24,1,Capital Work in Progress,Asset,
Matériel et outillage industriel et commercial,atériel en cours,24910000,249,0,Capital Work in Progress,Asset,
Matériel et outillage agricole,atériel en cours,24920000,249,0,Capital Work in Progress,Asset,
Matériel d’emballage récupérable et identifiable,atériel en cours,24930000,249,0,Capital Work in Progress,Asset,
Matériel et mobilier de bureau,atériel en cours,24940000,249,0,Capital Work in Progress,Asset,
Matériel de transport,atériel en cours,24950000,249,0,Capital Work in Progress,Asset,
Immobilisations animales et agricoles,atériel en cours,24960000,249,0,Capital Work in Progress,Asset,
Agencements et aménagements du matériel,atériel en cours,24970000,249,0,Capital Work in Progress,Asset,
Autres matériels,atériel en cours,24980000,249,0,Capital Work in Progress,Asset,
Avances et acomptes versés sur immobilisations,Comptes d’actif immobilisé,25,Classe 2,1,Fixed Asset,Asset,
Avances et acomptes versés sur immobilisations incorporelles,Avances et acomptes versés sur immobilisations,25100000,25,0,Fixed Asset,Asset,
"Avances et acomptes versés sur immobilisations corporelles"",",Avances et acomptes versés sur immobilisations,25200000,25,0,Fixed Asset,Asset,
TITRES DE PARTICIPATION,Comptes d’actif immobilisé,26,Classe 2,1,Fixed Asset,Asset,
Titres de participation dans des sociétés sous contrôle exclusif,TITRES DE PARTICIPATION,26100000,26,0,Fixed Asset,Asset,
Titres de participation dans des sociétés sous contrôle conjoint,TITRES DE PARTICIPATION,26200000,26,0,Fixed Asset,Asset,
Titres de participation dans des sociétés conférant une influence notable,TITRES DE PARTICIPATION,26300000,26,0,Fixed Asset,Asset,
Participations dans des organismes professionnels,TITRES DE PARTICIPATION,26500000,26,0,Fixed Asset,Asset,
Parts dans des groupements d’intérêt économique (GIE),TITRES DE PARTICIPATION,26600000,26,0,Fixed Asset,Asset,
Autres titres de participation,TITRES DE PARTICIPATION,26800000,26,0,Fixed Asset,Asset,
Autres immobilisations financières,Comptes d’actif immobilisé,27,Classe 2,1,Fixed Asset,Asset,
Prêts et créances non commerciales,Autres immobilisations financières,271,27,1,Fixed Asset,Asset,
Prêts participatifs,Prêts et créances non commerciales,27110000,271,0,Fixed Asset,Asset,
Prêts aux associés,Prêts et créances non commerciales,27120000,271,0,Fixed Asset,Asset,
Billets de fonds,Prêts et créances non commerciales,27130000,271,0,Fixed Asset,Asset,
Titres prêtés,Prêts et créances non commerciales,27140000,271,0,Fixed Asset,Asset,
Prêts au personnel,Autres immobilisations financières,272,27,1,Fixed Asset,Asset,
Prêts immobiliers,Prêts au personnel,27210000,272,0,Fixed Asset,Asset,
Prêts mobiliers et d’instal-lation,Prêts au personnel,27220000,272,0,Fixed Asset,Asset,
Autres prêts (frais d’étu-des…),Prêts au personnel,27280000,272,0,Fixed Asset,Asset,
Créances sur l’État,Autres immobilisations financières,273,27,1,Fixed Asset,Asset,
Retenues de garantie,Créances sur l’État,27310000,273,0,Fixed Asset,Asset,
Fonds réglementé,Créances sur l’État,27330000,273,0,Fixed Asset,Asset,
Autres,Créances sur l’État,27380000,273,0,Fixed Asset,Asset,
Titres immobilisés,Autres immobilisations financières,274,27,1,Fixed Asset,Asset,
Titres immobilisés de l’acti-vité de portefeuille (TIAP),Titres immobilisés,27410000,274,0,Fixed Asset,Asset,
Titres participatifs,Titres immobilisés,27420000,274,0,Fixed Asset,Asset,
Certificats d’investissement,Titres immobilisés,27430000,274,0,Fixed Asset,Asset,
Parts de fonds commun de placement (FCP),Titres immobilisés,27440000,274,0,Fixed Asset,Asset,
Autres titres immobilisés,Titres immobilisés,27480000,274,0,Fixed Asset,Asset,
